Japanese,Romanji,English
部,bu,part
歴史,rekishi,history
検索,kensaku,search
それだけ,soredake,only
警察,keisatsu,police
考え,kangae,thought
ヘルプ,herupu,help
リクエスト,rikuesuto,request
親切,shinsetsu,kind
月,tsuki,month
兄弟,kyōdai,brother
させて,sasete,let
なぜなら,nazenara,because
置く,oku,to put
いいえ,īe,no
リーシュ,rīshu,leash
彼ら,karera,them
街,machi,city
各,kaku,each
話す,hanasu,speak
来て,kite,come
したほうがいい,shita hō ga ī,should
赤ちゃん,akachan,baby
長い時間,nagai jikan,long time
時間,jikan,hours
意思,ishi,will
その間,sonokan,while
もう一度会いましょう,mōichido aimashō,meet again
四角,shikaku,square
話す,hanasu,speak
了解した,ryōkai shita,understood
知っていた,shitteita,knew
そうだった,sōdatta,were
警告,keikoku,Warning
ここは,koko wa,here is
できる,dekiru,could
場合,bāi,case
与える,ataeru,give
タイプ,taipu,type
彼らの,karera no,their
与えられた,ataerareta,given
訓練,kunren,train
体,karada,body
場所,basho,place
目,me,eyes
道,michi,way
だれの,dare no,whose
探す,sagasu,find
初め,hajime,first
失った,ushinatta,lost
手,te,hand
年,toshi,old
なれ,nare,be
ここ,koko,here
朝,asa,morning
そんなに,sonnani,so much
子供,kodomo,child
点,ten,point
こんにちは,konnichiwa,hello
ありがとうございます,arigato gozaimasu,thank you 
すみません,sumimasen,excuse me
明日,ashita,tommorow
止めてください,tomete kudasai,stop please!
新幹線,shinkansen,bullet train
何時に？,nanji ni?,at what time?
今何時ですか?,ima nanji desu ka?,what time is it?
